adjust
again
ahead
another
all
as
auto
and
before
after
bad
be
backend
besides
board
cancel
cancelled
cause
change
checking
check
child
chicken
cof
combine
complete
contact
continue
collect
cp2
close
closed
clean
damage
diff
different
disable
disposition
dm
double
done
downgrade
eap
enable
eqc
equip
equipment
except
extend
extended
erf7
ems
fa
fail
fails
failed
failing
failure
finish
first
fresh
fuh
full
future
flow
go
good
handler
hold
holding
ignore
include
ink
inking
inkoff
issue
jump
keep
kill
lb
leakage
lot
lots
low
load
loadboard
limit
known
unknown
may
marginal
mcn
merge
modify
mother
move
next
new
normal
no
od
ok
off
others
other
overall
overkill
outage
partially
partial
pas
pass
passed
parent
pending
pgm
pgfh
pickup
proceed
probe
probecard
probing
process
power
put
qa
r1
rc
rc1
rc2
rc3
rc4
report
re
reason
recover
recovery
redo
reflow
reject
rejects
rel
release
released
remove
reprobe
reprobing
resort
retest
remain
remaining
result
room
rls
rma
rwk
rt
rule
scrap
scraps
setup
separate
ship
shipment
skip
socket
sort
split
spilt
spit
splited
stop
sub
sublot
test
testing
under
untest
update
wafer
wafers
whole
without
yield
yld
一個子
下線
併
修改
修正
其中
其餘
再測
到子
原母
報廢
子批
存放
已變
廢
忽略
拆
拆出
拆子
拆完
拆成
拆批
拆為子
拆至子
拆到子
拆成子
拆空
換卡
改
改機
放行
整批
數量
未測
母批
清針
溫度
百百過
第二
繼續
續會
續測試
至子
設備
調帳
調成
變
重下
重判
重工
重收
重收批
重新
重測
取消
대
기
以下
測試
並
